,pdbid,-logKd/Ki
3137,2xk7,5.82
3138,2y8l,5.82
3139,2y8q,5.82
3140,3bet,5.82
3141,3doy,5.82
3142,3dp2,5.82
3143,3dp3,5.82
3144,3e1r,5.82
3145,3h6z,5.82
3146,3ind,5.82
3147,3nzw,5.82
3148,3owk,5.82
3149,4a9n,5.82
3150,4imq,5.82
3151,4k9g,5.82
3152,4mcb,5.82
3153,4pnt,5.82
3154,4rn2,5.82
3155,4u0u,5.82
3156,4xs2,5.82
3157,4yax,5.82
3158,4ycv,5.82
3159,3buw,5.83
3160,4edy,5.83
3161,3sm1,5.84
3162,4bzn,5.84
3163,4oex,5.84
3164,1abt,5.85
3165,1bdl,5.85
3166,1juf,5.85
3167,1o2u,5.85
3168,1o2x,5.85
3169,1o2y,5.85
3170,1q63,5.85
3171,1tqf,5.85
3172,1utz,5.85
3173,1yw7,5.85
3174,2bro,5.85
3175,2g19,5.85
3176,2liq,5.85
3177,2lnw,5.85
3178,2oc7,5.85
3179,3ax5,5.85
3180,3d28,5.85
3181,3dp0,5.85
3182,3duy,5.85
3183,3fxb,5.85
3184,3r9n,5.85
3185,4bis,5.85
3186,4ehm,5.85
3187,4gsc,5.85
3188,4msu,5.85
3189,4nak,5.85
3190,4pnm,5.85
3191,4qw6,5.85
3192,4w50,5.85
3193,4z2l,5.85
3194,5a2j,5.85
3195,1kl3,5.86
3196,2v6n,5.86
3197,3lpu,5.86
3198,3r6t,5.86
3199,4ajw,5.86
3200,4jn4,5.86
3201,4mga,5.86
3202,5akj,5.86
3203,2cm8,5.87
3204,2uzv,5.87
3205,4xkc,5.87
3206,1u6q,5.88
3207,3bim,5.88
3208,3kjq,5.88
3209,3zlk,5.88
3210,4pgc,5.88
3211,5am0,5.88
3212,5cyi,5.88
3213,1dzj,5.89
3214,1ett,5.89
3215,1fpi,5.89
3216,1zlw,5.89
3217,2e9d,5.89
3218,2j9a,5.89
3219,2mpm,5.89
3220,2oqs,5.89
3221,2ph9,5.89
3222,2qlb,5.89
3223,2qm7,5.89
3224,2viq,5.89
3225,2xas,5.89
3226,2y3p,5.89
3227,2y8i,5.89
3228,3bg8,5.89
3229,3bu6,5.89
3230,3e0q,5.89
3231,3f9n,5.89
3232,3ghe,5.89
3233,3m54,5.89
3234,3u9c,5.89
3235,3wgw,5.89
3236,3wzu,5.89
3237,4a23,5.89
3238,4b71,5.89
3239,4e28,5.89
3240,4gpl,5.89
3241,4hva,5.89
3242,4iu0,5.89
3243,4p6e,5.89
3244,4q3q,5.89
3245,4tkn,5.89
3246,4uau,5.89
3247,4x3s,5.89
3248,4xyn,5.89
3249,2ew5,5.9
3250,3wti,5.9
3251,4azp,5.9
3252,4bw1,5.9
3253,4kne,5.9
3254,4lkt,5.9
3255,4qxj,5.9
3256,5a5r,5.9
3257,5a5s,5.9
3258,2c0o,5.91
3259,2g01,5.91
3260,2pv2,5.91
3261,3jzk,5.91
3262,4mwe,5.91
3263,4rxh,5.91
3264,1a4h,5.92
3265,1aj6,5.92
3266,1lvk,5.92
3267,1ok7,5.92
3268,1qwe,5.92
3269,1ule,5.92
3270,1vgc,5.92
3271,1yms,5.92
3272,2g83,5.92
3273,2g9v,5.92
3274,2q96,5.92
3275,2zyn,5.92
3276,3jq7,5.92
3277,3n5u,5.92
3278,3qo9,5.92
3279,3r0h,5.92
3280,3tkz,5.92
3281,3vqh,5.92
3282,3zki,5.92
3283,3zvt,5.92
3284,4gja,5.92
3285,4h1j,5.92
3286,4hz5,5.92
3287,4l3p,5.92
3288,4mdq,5.92
3289,4ot6,5.92
3290,4p0x,5.92
3291,4pz8,5.92
3292,4rme,5.92
3293,4ux6,5.92
3294,4ztl,5.92
3295,5afx,5.92
3296,2hny,5.93
3297,2xno,5.93
3298,3ft4,5.93
3299,3pm1,5.93
3300,4i6b,5.93
3301,4op2,5.93
3302,4qwr,5.93
3303,2c4g,5.94
3304,2p99,5.94
3305,2woa,5.94
3306,3lnk,5.94
3307,3nef,5.94
3308,3neg,5.94
3309,4mr4,5.94
3310,4qh7,5.94
3311,3zot,5.95
3312,4rhy,5.95
3313,5ale,5.95
3314,5bpe,5.95
3315,1p05,5.96
3316,1t7r,5.96
3317,2e9c,5.96
3318,2fhy,5.96
3319,2joa,5.96
3320,2mow,5.96
3321,2o3p,5.96
3322,2o7v,5.96
3323,2peh,5.96
3324,2q92,5.96
3325,2xaq,5.96
3326,2ykb,5.96
3327,2yke,5.96
3328,3btl,5.96
3329,3cfs,5.96
3330,3fxw,5.96
3331,3fy0,5.96
3332,3g3m,5.96
3333,3lpr,5.96
3334,3mp6,5.96
3335,3rw9,5.96
3336,3sad,5.96
3337,3wns,5.96
3338,4awg,5.96
3339,4bqy,5.96
3340,4cki,5.96
3341,4e9c,5.96
3342,4feq,5.96
3343,4hkn,5.96
3344,4hlh,5.96
3345,4hlk,5.96
3346,4p0w,5.96
3347,4urk,5.96
3348,4uxh,5.96
3349,4xuc,5.96
3350,4yvc,5.96
3351,5d1u,5.96
3352,5em8,5.96
3353,1x7e,5.97
3354,2hug,5.97
3355,2m0v,5.97
3356,4qtd,5.97
3357,4qwg,5.97
3358,4wy6,5.97
3359,5ald,5.97
3360,2df6,5.98
3361,3ezv,5.98
3362,3rl8,5.98
3363,4g69,5.98
3364,1kl5,5.99
3365,1njf,5.99
3366,3t3e,5.99
3367,4ch2,5.99
3368,1ctr,6.0
3369,1di8,6.0
3370,1dpu,6.0
3371,1ekb,6.0
3372,1f0q,6.0
3373,1f40,6.0
3374,1fpy,6.0
3375,1ftl,6.0
3376,1gt1,6.0
3377,1h1q,6.0
3378,1hn2,6.0
3379,1i7g,6.0
3380,1k03,6.0
3381,1kat,6.0
3382,1ke8,6.0
3383,1rpa,6.0
3384,1tou,6.0
3385,1uvr,6.0
3386,1uym,6.0
3387,1xgj,6.0
3388,1zgv,6.0
3389,2am1,6.0
3390,2l6e,6.0
3391,2qa8,6.0
3392,2qh6,6.0
3393,2r3i,6.0
3394,2wnl,6.0
3395,2wzx,6.0
3396,2xhs,6.0
3397,2ym3,6.0
3398,2z5o,6.0
3399,3aig,6.0
3400,3az8,6.0
3401,3az9,6.0
3402,3bze,6.0
3403,3dxm,6.0
3404,3f69,6.0
3405,3ggj,6.0
3406,3haw,6.0
3407,3met,6.0
3408,3nyn,6.0
3409,3qnj,6.0
3410,3udq,6.0
3411,3uh2,6.0
3412,3zha,6.0
3413,3zo1,6.0
3414,4a0j,6.0
3415,4awi,6.0
3416,4bpj,6.0
3417,4d2t,6.0
3418,4ezw,6.0
3419,4fvq,6.0
3420,4g2y,6.0
3421,4ivt,6.0
3422,4jql,6.0
3423,4l3o,6.0
3424,4l7l,6.0
3425,4nrt,6.0
3426,4o72,6.0
3427,4pmt,6.0
3428,4pzx,6.0
3429,4qwf,6.0
3430,4rao,6.0
3431,4rs0,6.0
3432,4u2w,6.0
3433,4wyy,6.0
3434,4x8g,6.0
3435,4zz3,6.0
3436,6cgt,6.0
3437,1awf,6.01
3438,2o48,6.01
3439,2qhn,6.01
3440,2vqm,6.01
3441,2z4w,6.01
3442,4e34,6.01
3443,4ie3,6.01
3444,4uv9,6.01
3445,1xlz,6.02
3446,1zz1,6.02
3447,2xwe,6.02
3448,3jqb,6.02
3449,3pkc,6.02
3450,3ti4,6.02
3451,3ugc,6.02
3452,3zkf,6.02
3453,4jhz,6.02
3454,4tjw,6.02
3455,1fq8,6.03
3456,1n8u,6.03
3457,3qtr,6.03
3458,3rx7,6.03
3459,4f9v,6.03
3460,4ii9,6.03
3461,4pd8,6.03
3462,1t79,6.04
3463,2e9a,6.04
3464,2vcq,6.04
3465,2w1d,6.04
3466,2w2i,6.04
3467,2wbb,6.04
3468,3ijy,6.04
3469,3lbk,6.04
3470,3zlq,6.04
3471,4h38,6.04
3472,4mma,6.04
3473,1aq7,6.05
3474,1pxl,6.05
3475,1t29,6.05
3476,1z6p,6.05
3477,2a3i,6.05
3478,2l75,6.05
3479,2nns,6.05
3480,2q11,6.05
3481,2r3p,6.05
3482,2r7g,6.05
3483,2wi5,6.05
3484,2x3t,6.05
3485,2zoq,6.05
3486,3cfv,6.05
3487,3d04,6.05
3488,3lgl,6.05
3489,3max,6.05
3490,3skh,6.05
3491,4eoi,6.05
3492,4eol,6.05
3493,4eon,6.05
3494,4eop,6.05
3495,4ge2,6.05
3496,4hxz,6.05
3497,4inb,6.05
3498,4qfs,6.05
3499,4qvp,6.05
3500,4ris,6.05
3501,4w7t,6.05
3502,1jmi,6.06
3503,1qnh,6.06
3504,2xkf,6.06
3505,2ym6,6.06
3506,3buo,6.06
3507,3qc9,6.06
3508,4gw8,6.06
3509,4hlf,6.06
3510,4o4r,6.06
3511,5avi,6.06
3512,5c29,6.06
3513,1c5f,6.07
3514,1o5f,6.07
3515,1xo2,6.07
3516,1yy6,6.07
3517,1zpb,6.07
3518,2pjt,6.07
3519,2vtn,6.07
3520,2wmx,6.07
3521,3le8,6.07
3522,3loo,6.07
3523,4abv,6.07
3524,4ec0,6.07
3525,4h5e,6.07
3526,4l09,6.07
3527,4wwn,6.07
3528,4xqu,6.07
3529,1awh,6.08
3530,1f4y,6.08
3531,1kz8,6.08
3532,1sri,6.08
3533,1tet,6.08
3534,1y8p,6.08
3535,2g9u,6.08
3536,2pze,6.08
3537,2x6i,6.08
3538,3kaf,6.08
3539,3otf,6.08
3540,3rhx,6.08
3541,3sv7,6.08
3542,4ir6,6.08
3543,1ftj,6.09
3544,4cwb,6.09
3545,4cxw,6.09
3546,4e8y,6.09
3547,4f49,6.09
3548,4lkl,6.09
3549,4o3b,6.09
3550,4pni,6.09
3551,1b56,6.1
3552,1css,6.1
3553,1e00,6.1
3554,1meu,6.1
3555,1oj5,6.1
3556,1tka,6.1
3557,1zxv,6.1
3558,2cvd,6.1
3559,2fum,6.1
3560,2pzi,6.1
3561,2r3g,6.1
3562,2vwz,6.1
3563,2y06,6.1
3564,2zu3,6.1
3565,3cii,6.1
3566,3d62,6.1
3567,3djf,6.1
3568,3ho9,6.1
3569,3lkh,6.1
3570,3mp1,6.1
3571,3rcj,6.1
3572,3saz,6.1
3573,3t1n,6.1
3574,4akn,6.1
3575,4c4n,6.1
3576,4dgg,6.1
3577,4euc,6.1
3578,4fmn,6.1
3579,4glw,6.1
3580,4hbn,6.1
3581,4hmk,6.1
3582,4hod,6.1
3583,4mz5,6.1
3584,4ocp,6.1
3585,4wp7,6.1
3586,4xkb,6.1
3587,4ya8,6.1
3588,4z1s,6.1
3589,5c13,6.1
3590,1xxh,6.11
3591,2jnw,6.11
3592,2nqi,6.11
3593,2o63,6.11
3594,2ykc,6.11
3595,3wdd,6.11
3596,4c9w,6.11
3597,4gvm,6.11
3598,4li7,6.11
3599,4mm8,6.11
3600,4no6,6.11
3601,4qw1,6.11
3602,4s3e,6.11
3603,5dd9,6.11
3604,1gag,6.12
3605,1o2g,6.12
3606,1uu3,6.12
3607,2kgi,6.12
3608,2vpp,6.12
3609,2z78,6.12
3610,3pkd,6.12
3611,3r2a,6.12
3612,4aw5,6.12
3613,4hzt,6.12
3614,4irx,6.12
3615,4l7d,6.12
3616,5aki,6.12
3617,1aku,6.13
3618,2ccu,6.13
3619,2xyr,6.13
3620,3fej,6.13
3621,3g9l,6.13
3622,3ow3,6.13
3623,3sm0,6.13
3624,3tn8,6.13
3625,3zeb,6.13
3626,4jlj,6.13
3627,4q18,6.13
3628,5alo,6.13
3629,2c6k,6.14
3630,3bti,6.14
3631,3db6,6.14
3632,3ig1,6.14
3633,3pz1,6.14
3634,3pz2,6.14
3635,4jj8,6.14
3636,4rt1,6.14
3637,4umt,6.14
3638,1bmb,6.15
3639,1cw2,6.15
3640,1e02,6.15
3641,1h6e,6.15
3642,1tkt,6.15
3643,1tsl,6.15
3644,1w6r,6.15
3645,1w76,6.15
3646,2bz5,6.15
3647,2ewy,6.15
3648,2gfs,6.15
3649,2j3q,6.15
3650,2k7l,6.15
3651,2mg5,6.15
3652,2wtj,6.15
3653,2xck,6.15
3654,2y4s,6.15
3655,2y9q,6.15
3656,2z4y,6.15
3657,2z9g,6.15
3658,3bbt,6.15
3659,3bh3,6.15
3660,3ce0,6.15
3661,3fpd,6.15
3662,3ktr,6.15
3663,3l3x,6.15
3664,3lkz,6.15
3665,3osw,6.15
3666,3qxd,6.15
3667,3r7b,6.15
3668,3r7n,6.15
3669,3rm8,6.15
3670,3usn,6.15
3671,3v4x,6.15
3672,3v6r,6.15
3673,4exh,6.15
3674,4hnf,6.15
3675,4kzl,6.15
3676,4mpc,6.15
3677,4msl,6.15
3678,4p4j,6.15
3679,4r5v,6.15
3680,4utn,6.15
3681,4utr,6.15
3682,5agj,6.15
3683,2e99,6.16
3684,2evm,6.16
3685,3fnu,6.16
3686,3lpg,6.16
3687,4b6c,6.16
3688,4ktu,6.16
3689,4mse,6.16
3690,4o37,6.16
3691,4rhu,6.16
3692,4zro,6.16
3693,5f2k,6.16
3694,1okv,6.17
3695,1shd,6.17
3696,1sle,6.17
3697,2kce,6.17
3698,2va6,6.17
3699,3hp2,6.17
3700,3oik,6.17
3701,3owl,6.17
3702,4bpi,6.17
3703,4c68,6.17
3704,4dfl,6.17
3705,4ikt,6.17
3706,4ju6,6.17
3707,4ju7,6.17
3708,4pn1,6.17
3709,5ddf,6.17
3710,1ke9,6.18
3711,1qf4,6.18
3712,2c3j,6.18
3713,2qhm,6.18
3714,2vti,6.18
3715,3amb,6.18
3716,3eu7,6.18
3717,3wff,6.18
3718,4nmx,6.18
3719,4qwl,6.18
3720,1d4t,6.19
3721,1dx6,6.19
3722,1f92,6.19
3723,1tpz,6.19
3724,2o65,6.19
3725,2p98,6.19
3726,2qyl,6.19
3727,2xd6,6.19
3728,3dwb,6.19
3729,3fr4,6.19
3730,3qtw,6.19
3731,3v8s,6.19
3732,3vjs,6.19
3733,3zcw,6.19
3734,4i4f,6.19
3735,4olc,6.19
3736,4r8y,6.19
3737,4umu,6.19
3738,5aiv,6.19
3739,5c84,6.19
3740,1jif,6.2
3741,1tl3,6.2
3742,1wbs,6.2
3743,2gmv,6.2
3744,2osm,6.2
3745,2won,6.2
3746,3fzt,6.2
3747,3h0s,6.2
3748,3nf3,6.2
3749,4b72,6.2
3750,4gw6,6.2
3751,4is6,6.2
3752,4jvq,6.2
3753,1aht,6.21
3754,2b17,6.21
3755,2uzl,6.21
3756,2ykj,6.21
3757,2zm3,6.21
3758,3are,6.21
3759,3bun,6.21
3760,3dgn,6.21
3761,3hlo,6.21
3762,3i7i,6.21
3763,3lmp,6.21
3764,3m55,6.21
3765,3n0h,6.21
3766,3pkb,6.21
3767,3rx8,6.21
3768,3vid,6.21
3769,3wiy,6.21
3770,4bgm,6.21
3771,4deh,6.21
3772,4eyj,6.21
3773,4hmh,6.21
3774,4ht6,6.21
3775,4i0d,6.21
3776,4ir5,6.21
3777,4jwr,6.21
3778,4lp9,6.21
3779,1bqn,6.22
3780,1fbm,6.22
3781,1fig,6.22
3782,1gi6,6.22
3783,1ka7,6.22
3784,1xb7,6.22
3785,2b53,6.22
3786,2k1q,6.22
3787,2o7e,6.22
3788,2viz,6.22
3789,2y07,6.22
3790,2ye9,6.22
3791,2ze1,6.22
3792,3dxj,6.22
3793,3e9i,6.22
3794,3g2s,6.22
3795,3h0w,6.22
3796,3hvc,6.22
3797,3ipa,6.22
3798,3l5f,6.22
3799,3o0g,6.22
3800,3pb3,6.22
3801,3s1y,6.22
3802,3s9z,6.22
3803,4b14,6.22
3804,4dwk,6.22
3805,4e5d,6.22
3806,4kxl,6.22
3807,4yv5,6.22
3808,5bsk,6.22
3809,1pmu,6.23
3810,2e98,6.23
3811,2qu3,6.23
3812,3wzq,6.23
3813,4ikr,6.23
3814,4kii,6.23
3815,4l2f,6.23
3816,4u0x,6.23
3817,1tow,6.24
3818,1xn0,6.24
3819,1ym1,6.24
3820,2fai,6.24
3821,2fix,6.24
3822,2gg3,6.24
3823,2vx0,6.24
3824,3fqh,6.24
3825,3ryw,6.24
3826,3waw,6.24
3827,3wd2,6.24
3828,4dgo,6.24
3829,4h5d,6.24
3830,4iqu,6.24
3831,4s3f,6.24
3832,1ke5,6.25
3833,1wzy,6.25
3834,1ykr,6.25
3835,1zky,6.25
3836,2q93,6.25
3837,3ans,6.25
3838,3th8,6.25
3839,3wf9,6.25
3840,4c35,6.25
3841,4ib5,6.25
3842,4inh,6.25
3843,4m3e,6.25
3844,4r3b,6.25
3845,4y29,6.25
3846,1oyn,6.26
3847,2l6j,6.26
3848,2ok1,6.26
3849,2ql7,6.26
3850,3oap,6.26
3851,3rhk,6.26
3852,3ux0,6.26
3853,4bfz,6.26
3854,4enx,6.26
3855,4li5,6.26
3856,4m3g,6.26
3857,4n7y,6.26
3858,4qzx,6.26
3859,5cxz,6.26
3860,1p06,6.27
3861,2mkr,6.27
3862,2nxl,6.27
3863,3pka,6.27
3864,3rbq,6.27
3865,3wix,6.27
3866,3zjv,6.27
3867,4ay5,6.27
3868,4ewr,6.27
3869,4gb9,6.27
3870,4l6q,6.27
3871,4q3r,6.27
3872,4qwk,6.27
3873,4qwx,6.27
3874,4wvs,6.27
3875,1g50,6.28
3876,1g6g,6.28
3877,1gui,6.28
3878,1ikv,6.28
3879,1mqg,6.28
3880,1ol2,6.28
3881,2gfd,6.28
3882,2hai,6.28
3883,2nmb,6.28
3884,2viv,6.28
3885,2wo8,6.28
3886,2wu7,6.28
3887,3ioi,6.28
3888,3oc0,6.28
3889,3opp,6.28
3890,3p7a,6.28
3891,3rk9,6.28
3892,3v0p,6.28
3893,3wnr,6.28
3894,3wnt,6.28
3895,4abu,6.28
3896,4bgk,6.28
3897,4jfv,6.28
3898,4qw7,6.28
3899,1yyr,6.29
3900,2ael,6.29
3901,2g0g,6.29
3902,3ipy,6.29
3903,3vhv,6.29
3904,3wth,6.29
3905,4cfw,6.29
3906,4fjz,6.29
3907,4h3a,6.29
3908,4hze,6.29
3909,4jda,6.29
3910,4jju,6.29
3911,4n84,6.29
3912,4qt0,6.29
3913,4wj5,6.29
3914,4y2x,6.29
3915,5ap7,6.29
3916,1a2c,6.3
3917,1a5h,6.3
3918,1c7e,6.3
3919,1c9d,6.3
3920,1gqs,6.3
3921,1hqh,6.3
3922,1m5c,6.3
3923,1oxq,6.3
3924,1pwp,6.3
3925,1w25,6.3
3926,1w51,6.3
3927,1zh7,6.3
3928,2f3r,6.3
3929,2fda,6.3
3930,2i5j,6.3
3931,2jg8,6.3
3932,2nwn,6.3
3933,2or9,6.3
3934,2r3f,6.3
3935,2vgo,6.3
3936,2w4i,6.3
3937,2w8f,6.3
3938,2y4l,6.3
3939,2zv2,6.3
3940,3g1m,6.3
3941,3ls4,6.3
3942,3me9,6.3
3943,3mea,6.3
3944,3meu,6.3
3945,3qcj,6.3
3946,3ql9,6.3
3947,3s7b,6.3
3948,3t4v,6.3
3949,3tei,6.3
3950,3vzd,6.3
3951,4a9m,6.3
3952,4aaw,6.3
3953,4bw3,6.3
3954,4dj7,6.3
3955,4euv,6.3
3956,4f63,6.3
3957,4fgy,6.3
3958,4i4e,6.3
3959,4kil,6.3
3960,4kio,6.3
3961,4ob1,6.3
3962,4ob2,6.3
3963,4oq5,6.3
3964,4uyh,6.3
3965,4wq2,6.3
3966,4yfi,6.3
3967,5ajy,6.3
3968,5brn,6.3
3969,2op3,6.31
3970,2p0x,6.31
3971,3hs9,6.31
3972,3k48,6.31
3973,3ur9,6.31
3974,4bg1,6.31
3975,4e1e,6.31
3976,4nah,6.31
3977,4ovz,6.31
3978,4pvo,6.31
3979,1t69,6.32
3980,2c9d,6.32
3981,2uyi,6.32
3982,2zga,6.32
3983,3ckt,6.32
3984,3el7,6.32
3985,4mgc,6.32
3986,4qq5,6.32
3987,4qt2,6.32
3988,1c29,6.33
3989,1c8v,6.33
3990,1xhm,6.33
3991,1yys,6.33
3992,2y1w,6.33
3993,3dxk,6.33
3994,3hxi,6.33
3995,3nsh,6.33
3996,3u8d,6.33
3997,4i0z,6.33
3998,4nk3,6.33
3999,4tn4,6.33
4000,4zg6,6.33
4001,5ab9,6.33
4002,2byi,6.34
4003,4hev,6.34
4004,4j3u,6.34
4005,4jfw,6.34
4006,4lkm,6.34
4007,4pnr,6.34
4008,4qrc,6.34
4009,5bms,6.34
4010,1gjb,6.35
4011,1mik,6.35
4012,1o48,6.35
4013,1qwf,6.35
4014,1yrs,6.35
4015,2f2c,6.35
4016,2qpj,6.35
4017,3eid,6.35
4018,3fr5,6.35
4019,3hik,6.35
4020,4azf,6.35
4021,4eo4,6.35
4022,4hl5,6.35
4023,4i0f,6.35
4024,4i67,6.35
4025,4lq3,6.35
4026,4mk5,6.35
4027,4qvm,6.35
4028,4zpe,6.35
4029,5a2k,6.35
4030,1fta,6.36
4031,2iws,6.36
4032,2owb,6.36
4033,2y76,6.36
4034,3g90,6.36
4035,3t6j,6.36
4036,3uwo,6.36
4037,3wsy,6.36
4038,4anv,6.36
4039,4iti,6.36
4040,4j0y,6.36
4041,4j4v,6.36
4042,4mg7,6.36
4043,4mk7,6.36
4044,4o36,6.36
4045,4psq,6.36
4046,6abp,6.36
4047,1g3f,6.37
4048,2q9n,6.37
4049,2ym5,6.37
4050,3i7g,6.37
4051,3mpf,6.37
4052,3o88,6.37
4053,3ui2,6.37
4054,4e5h,6.37
4055,4gw1,6.37
4056,4ks3,6.37
4057,4mm4,6.37
4058,4mpe,6.37
4059,4r91,6.37
4060,5tln,6.37
4061,1kdy,6.38
4062,1qja,6.38
4063,1qjb,6.38
4064,1ukh,6.38
4065,1xm6,6.38
4066,1xnx,6.38
4067,2q2c,6.38
4068,2wcg,6.38
4069,3hau,6.38
4070,3l3a,6.38
4071,3oqk,6.38
4072,4f3h,6.38
4073,4nzn,6.38
4074,4tki,6.38
4075,4u6x,6.38
4076,4unn,6.38
4077,1o79,6.39
4078,1ocn,6.39
4079,1xog,6.39
4080,3ess,6.39
4081,3v7d,6.39
4082,3vyd,6.39
4083,4i12,6.39
4084,4yoj,6.39
4085,5akw,6.39
4086,1a07,6.4
4087,1a1b,6.4
4088,1c3r,6.4
4089,1fq4,6.4
4090,1jrs,6.4
4091,1rth,6.4
4092,1t2v,6.4
4093,1upk,6.4
4094,1z2b,6.4
4095,2a4l,6.4
4096,2ai7,6.4
4097,2c1b,6.4
4098,2cmo,6.4
4099,2jbk,6.4
4100,2o2u,6.4
4101,2qqs,6.4
4102,2waj,6.4
4103,2zaz,6.4
4104,3dz4,6.4
4105,3jq9,6.4
4106,3ll8,6.4
4107,3lw0,6.4
4108,3o3j,6.4
4109,3pn3,6.4
4110,3rsb,6.4
4111,3sfi,6.4
4112,3szm,6.4
4113,3zs1,6.4
4114,4c7t,6.4
4115,4cff,6.4
4116,4dpf,6.4
4117,4e26,6.4
4118,4ff8,6.4
4119,4hcv,6.4
4120,4jj7,6.4
4121,4m3b,6.4
4122,4mbc,6.4
4123,4o3u,6.4
4124,4p00,6.4
4125,4p02,6.4
4126,4pax,6.4
4127,4pmp,6.4
4128,4qnu,6.4
4129,4qtc,6.4
4130,4r1y,6.4
4131,4u79,6.4
4132,4whl,6.4
4133,4x1r,6.4
4134,4xbd,6.4
4135,4yv9,6.4
4136,4zxy,6.4
4137,5c5h,6.4
4138,5e0l,6.4
4139,1pye,6.41
4140,1xor,6.41
4141,2oj9,6.41
4142,2qki,6.41
4143,2xxn,6.41
4144,2xxw,6.41
4145,3mxy,6.41
4146,4b5b,6.41
4147,4j0r,6.41
4148,4jq7,6.41
4149,4o1b,6.41
4150,4o2f,6.41
4151,5cvd,6.41
4152,1r17,6.42
4153,1thl,6.42
4154,1w0y,6.42
4155,2fw3,6.42
4156,2jle,6.42
4157,2y36,6.42
4158,3is9,6.42
4159,3rkb,6.42
4160,4itj,6.42
4161,4m5o,6.42
4162,4wnk,6.42
4163,4x1n,6.42
4164,4zyc,6.42
4165,1n7j,6.43
4166,1nax,6.43
4167,1t46,6.43
4168,2bzz,6.43
4169,2cia,6.43
4170,2ivu,6.43
4171,2q94,6.43
4172,3ask,6.43
4173,3q4c,6.43
4174,4cik,6.43
4175,4deb,6.43
4176,4wsk,6.43
4177,4z2j,6.43
4178,1j4q,6.44
4179,1jqe,6.44
4180,1qti,6.44
4181,1svh,6.44
4182,2m0u,6.44
4183,2vqj,6.44
4184,2y59,6.44
4185,3d7m,6.44
4186,3ffu,6.44
4187,3wyj,6.44
4188,3zmq,6.44
4189,4ea1,6.44
4190,4fmu,6.44
4191,4jfx,6.44
4192,4jg6,6.44
4193,4l2k,6.44
4194,4os6,6.44
4195,4pde,6.44
4196,4qaa,6.44
4197,4tjy,6.44
4198,4wz4,6.44
4199,5al2,6.44
4200,3d32,6.45
4201,1gt3,6.46
4202,1q4w,6.46
4203,1wbn,6.46
4204,2c6m,6.46
4205,2ohv,6.46
4206,2vwu,6.46
4207,3i6m,6.46
4208,3kdu,6.46
4209,3tnh,6.46
4210,3zy2,6.46
4211,4dgn,6.46
4212,4hyb,6.46
4213,4w4y,6.46
4214,5ap4,6.46
4215,7abp,6.46
4216,1aqj,6.47
4217,1bxl,6.47
4218,1o9k,6.47
4219,1wbt,6.47
4220,2o64,6.47
4221,2xu4,6.47
4222,3gcq,6.47
4223,3zh8,6.47
4224,4aft,6.47
4225,4ju4,6.47
4226,4jzb,6.47
4227,4uv8,6.47
4228,5ai1,6.47
4229,5c11,6.47
4230,1c50,6.48
4231,1q9m,6.48
4232,2f89,6.48
4233,2hz0,6.48
4234,2oz5,6.48
4235,2q2n,6.48
4236,2w6p,6.48
4237,2x24,6.48
4238,3cph,6.48
4239,3ieo,6.48
4240,3nc9,6.48
4241,3p3u,6.48
4242,4kon,6.48
4243,4mg8,6.48
4244,4n7e,6.48
4245,4nat,6.48
4246,4pvv,6.48
4247,4q0a,6.48
4248,4yoi,6.48
4249,1fsw,6.49
4250,1ru2,6.49
4251,1s4d,6.49
4252,1x11,6.49
4253,2h02,6.49
4254,2qf6,6.49
4255,2ygu,6.49
4256,3ara,6.49
4257,3bum,6.49
4258,3h0j,6.49
4259,3mj5,6.49
4260,3muf,6.49
4261,3qar,6.49
4262,3qel,6.49
4263,3u6a,6.49
4264,3u8h,6.49
4265,3wut,6.49
4266,4d8s,6.49
4267,4eoy,6.49
4268,4gv8,6.49
4269,4mwb,6.49
4270,4v11,6.49
4271,4yee,6.49
4272,4z68,6.49
4273,5ar7,6.49
4274,2gj4,6.5
4275,3qcs,6.5
4276,4ith,6.5
4277,4mw4,6.5
4278,4qws,6.5
4279,1h3c,6.51
4280,1vwf,6.51
4281,2jkt,6.51
4282,2wtc,6.51
4283,2y56,6.51
4284,3gds,6.51
4285,3hv4,6.51
4286,3k5u,6.51
4287,3r93,6.51
4288,4bo9,6.51
4289,4e3o,6.51
4290,4hlg,6.51
4291,4nka,6.51
4292,1gt4,6.52
4293,1j80,6.52
4294,1k3q,6.52
4295,1m21,6.52
4296,1mqh,6.52
4297,1rsd,6.52
4298,1w1d,6.52
4299,2f9b,6.52
4300,2fx8,6.52
4301,2gz7,6.52
4302,2ima,6.52
4303,2jql,6.52
4304,2ntf,6.52
4305,2off,6.52
4306,2rc8,6.52
4307,2v3e,6.52
4308,2vev,6.52
4309,2w0p,6.52
4310,2w73,6.52
4311,2x2k,6.52
4312,3c10,6.52
4313,3g2v,6.52
4314,3hio,6.52
4315,3hjo,6.52
4316,3ljj,6.52
4317,3p4q,6.52
4318,3rwf,6.52
4319,3zm6,6.52
4320,4aig,6.52
4321,4bqx,6.52
4322,4ez5,6.52
4323,4ezo,6.52
4324,4fiv,6.52
4325,4krs,6.52
4326,4loj,6.52
4327,4nj3,6.52
4328,4og5,6.52
4329,4pvt,6.52
4330,4qme,6.52
4331,4qps,6.52
4332,4r0i,6.52
